,CPV_zmix,CPV_PC_0,CPV_PC_1,CPV_PC_2,CPV_PC_3,CPV_PC_4,CPV_PC_5,CPV_PC_6,CPV_PC_7,CPV_PC_8,CPV_PC_9,CPV_PC_10,CPV_PC_11,CPV_PC_12,CPV_PC_13,CPV_PC_14,CPV_PC_15,CPV_PC_16,CPV_PC_17,CPV_PC_18,CPV_PC_19,CPV_PC_20,CPV_PC_21,CPV_PC_22,CPV_PC_23,CPV_PC_24
YiAR,0.0,1.6978637870901001e-22,1.21840409033081e-22,-1.31076950726712e-22,-1.22448772793832e-22,-4.86822655386048e-22,3.17289414715079e-22,1.19693887716131e-21,1.38731188187603e-21,-2.03837795297624e-21,5.05923661014628e-21,2.48959171961944e-21,-4.27090563716663e-21,-1.58463693973897e-20,-1.5143459531468702e-20,-1.0023463078839901e-20,-1.81330912910329e-21,2.25369663534721e-20,2.39424973010902e-20,3.0009870198884603e-20,5.98100272274236e-20,5.99256898526912e-20,1.98228552887251e-22,2.9727170579965205e-20,6.35568530283644e-20,-2.31330217348599e-19
YiC,0.0,6.98240763164105e-05,7.60885000871383e-05,-7.6610264042763e-05,0.0002267711183326,-0.0003524174165639,-0.0008565229803148,0.0016676330023179,0.0006533662149677,0.004795845215635,-0.0031963893752779,0.0053525645600651,-0.0104167883191017,-0.0005481888669903,0.0146602450453553,-0.0155216189152574,-0.0284624573984255,-0.020246659669594,0.063845449028913,-0.141661409724558,-0.245500424647266,-0.401510823106262,-0.0010193592283539,-0.128635627672783,-0.156188251746281,-0.0005952304337326
YiC2H,0.0,0.001038663197676,0.001018047353055,-0.0011167322764866,0.0006930938938863,-0.0041714646950813,-0.0118130917244265,0.0226364165861519,0.0301882223286884,0.0273206196983908,0.0580997006015099,0.0767355098299344,-0.304765768017214,0.155038094962507,0.507257854401909,0.0270403364739245,0.0540831451002148,-0.416011684645235,-0.658185489544203,0.0182295377810593,-0.0080820895248039,-0.0389490138686817,0.0008728713082387,-0.0027262341821747,-0.0026343550249705,0.0359584943637252
YiC2H2,0.141795812729499,0.107220728891333,-0.076111948250728,-0.115827054079913,-0.936148740795022,-0.0999147075171471,0.238614835228718,-0.0230583355256633,0.0501086831219666,-0.0053144845110732,-0.014914837085948,-0.0182062650778998,0.027057006116291,0.0263144489924177,0.013316779493706,-0.0137826809263938,-0.0210744445901834,0.0005924602353727,-0.0052256492828076,0.0019547151295944,-0.0008111756691702,-5.62796062379579e-05,-7.78376141609874e-05,0.0001369463930682,-0.0010145269381039,-0.0001892823965652
YiC2H3,0.0,5.43107297773577e-05,-0.0001765971691487,-3.161664833611e-05,-0.0003111584991203,-3.41285852259375e-05,0.0001618736164892,-0.0007640519658609,-0.0040338654150958,0.0106187408379343,0.0273608025576119,-0.0158523912474263,0.0284650891732875,0.0095842358829187,0.027799806845813,0.0227167897656741,-0.0738686045124575,-0.488345792670027,0.330765113636392,0.0554404359969973,0.637378514092934,-0.322483873404599,0.0933181535363638,0.165713528726522,0.189690006705433,0.137514527802057
YiC2H4,0.215874715628927,0.0886690868487581,-0.937439641907004,-0.0595277263060193,0.161592833136801,-0.173582338455969,0.0654545992848592,0.0137610830650922,0.0297821661185384,-0.0176623004164689,0.0093324556860885,0.0026092406343451,-0.0043337801445148,-0.0071964077786872,-0.009028533412333,0.020825763552998,0.0202735874091454,-0.0071476011123574,0.0019173791353933,0.0088651957512233,-0.0060080886427885,-0.0016275512570633,0.0041746249987849,0.0005321529584903,-0.0009270716807448,-0.0006909604844086
YiC2H5,0.0,2.57027551923186e-05,-0.0002131048457963,-1.46044868669359e-05,5.96228987395724e-05,4.98697855776804e-06,-0.000175476339913,-4.34079927864687e-06,-0.0006024745505008,0.0015666370509088,0.0073478696241775,-0.0032658227301419,0.0082497243432848,0.0021834234380507,0.0049404516944456,-0.0427321202795558,0.0260989522647059,-0.0335344256948472,0.0223134607217938,0.039716723439842,-0.0795061586190265,0.049596347396454,-0.0115281854997893,-0.109130164476051,0.168732007415517,0.217930291552909
YiC2H6,0.0,0.0015426453592168,-0.01458182239814,-0.0009717214247007,0.0041001873635512,-0.0027334767599892,-0.0019553544349305,0.0036782746142847,0.0069474061300527,-0.0133871365766914,0.0573936069661526,-0.0159729010958381,0.0575918121101693,-0.0044020687205033,0.0189660698365527,-0.187919259910398,0.0656773130130847,0.399299132261784,-0.279261456560885,-0.600391677238606,0.455625247692781,-0.116196781681972,-0.30659029487199,-0.0784267857620519,0.13084901902721,0.0499473397693266
YiC3H7,0.0,7.16019896415938e-07,-7.22245285052511e-06,1.29871146981115e-06,2.50674483859762e-06,-6.82708558886881e-06,2.03766015590622e-06,-3.59358875349954e-05,-4.67512173032882e-05,0.0002151257125865,0.0008905114479187,-0.0005625697485503,0.0009567665775008,0.0006467600783614,0.0004719953260557,-0.0014326490459555,0.0022933869803498,-0.0230149949785766,0.0155228472687035,0.0087078431631384,0.0152785852605636,-0.0071795714143392,-0.0600272243019097,0.0626271055227592,-0.0140709892637107,0.0880175201286468
YiC3H8,0.319124833677442,-0.0355622244065973,0.0559698071594501,0.0234586556927775,0.0741108049209833,0.0376679152364208,-0.0238433456604266,-0.0081662534810931,0.106491570674213,-0.321523517096271,-0.010051028445571,-0.13725536941614,0.358558666224463,0.101161328341228,0.371167700063382,-0.321923931117332,-0.598902821494964,0.0558304933440978,0.0198635926886428,0.065987943479411,-0.0306463488576574,0.0501297040144737,0.0134730255958798,0.0165568260410046,-0.0316612183352385,-0.0037410241875544
