,CPV_0,CPV_1,CPV_2,CPV_3,CPV_4,CPV_5,CPV_6,CPV_7,CPV_8
H,-0.0,-0.0,0.0056944126,0.007901895,-0.0,-0.0,-0.0,0.10961286,0.00016111557
O2,-0.0,0.00036138567,-0.0,-0.0,2.4965052e-06,0.0002413512,0.24053536,0.0001976029,-0.0
O,0.055507094,0.018893115,-0.0,-0.0,-0.0,0.111709125,0.010569407,0.00016363715,-0.0
OH,0.0026104078,0.0010931945,-0.0,-0.0,-0.0,0.0021414722,0.0008124049,0.50512207,-0.0
H2,-0.0,0.47668567,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
H2O,-0.0,-0.0,0.01834237,0.0056905434,0.3001528,-0.0,-0.0,7.0231877e-06,0.009326243
HO2,-0.0,-0.0,-0.0,-0.0,-0.0,0.48799944,-0.0,-0.0,-0.0
H2O2,-0.0,-0.0,-0.0,-0.0,0.38543025,-0.0,-0.0,-0.0,-0.0
CO,-0.0,3.0860254e-05,-0.0,-0.0,0.26936582,4.056287e-05,0.006754602,0.019308623,-0.0
CO2,0.0002952,-0.0,0.15908968,0.0547008,1.2778815e-05,0.0002550254,3.525694e-05,0.00010293805,0.04356711
HCO,-0.0,-0.0,-0.0,0.18030971,-0.0,-0.0,1.2039089e-05,-0.0,-0.0
CH,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.52955264
T-CH2,-0.0,-0.0,-0.0,0.2945497,-0.0,-0.0,2.515688e-07,-0.0,-0.0
CH3,-0.0,-0.0,0.00019385606,0.00021892798,-0.0,-0.0,0.28314218,-0.0,0.00028377087
CH2O,-0.0,-0.0,5.6835376e-07,-0.0,-0.0,-0.0,0.4735736,-0.0,-0.0
HCCO,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9237214e-06,-0.0,0.4628753
C2H,-0.0,-0.0,-0.0,-0.0,-0.0,0.51329195,-0.0,-0.0,-0.0
CH2CO,-0.0,-0.0,0.46195516,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C2H2,0.03770111,0.010127642,-0.0,-0.0,-0.0,8.7945366e-05,0.06985651,3.16886e-05,0.00029964885
S-CH2,-0.0,-0.0,0.35784566,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C2H4,-0.0,-0.0,0.3372752,-0.0,-0.0,0.00015547429,-0.0,-0.0,-0.0
